Origin,Destination,Distance.miles
64501000,83708000,44.82
64501000,61914000,70.4
64501000,60415000,97.67
64501000,83722000,24.92
64501000,71225000,102.15
64501000,87808000,18.41248
64501000,71242000,145.88
64501000,71243000,93.93
64501000,71245000,54.89
74604000,83708000,95.63
74604000,61914000,74.36
74604000,60415000,19.72
74604000,83722000,88.32
74604000,71243000,49.49
74604000,71245000,66.13
64509000,86003000,139.24
64509000,86005000,109.38
64509000,60412000,110.08
64509000,61914000,44.24
64509000,72223000,75.04
64509000,60415000,108.63
64509000,83719000,88.95
64509000,63022000,86.91
64509000,83722000,68.85
64509000,71225000,57.86
64509000,86406000,110.56
64509000,60606000,115.41
64509000,63018000,99.29
64509000,83740000,70.87
64509000,72211000,56.3
64509000,64524000,56.92
64509000,83742000,28.38
64509000,60613000,64.39
64509000,72249000,111.16
64509000,83747000,23.0156
64509000,71242000,101.06
64509000,71243000,85.13
64509000,72251000,95.03
64509000,71245000,36.34
83708000,61914000,69.0468
82604000,61914000,139.9
82604000,83722000,206.9
82604000,71225000,86.04
82604000,71242000,40.51
82604000,71243000,174.7
82604000,71245000,150.9
86003000,61914000,130.97
86003000,83722000,167.65
86003000,71225000,80.43
86003000,71242000,62.59
86003000,71245000,135.45
86005000,61914000,122.28
86005000,83722000,174.44
86005000,71225000,67.72
86005000,71242000,37.69
86005000,71243000,163.25
86005000,71245000,129.79
72217000,72223000,196.78338
72217000,60415000,80.5546
72217000,83719000,130.72
72217000,63022000,58.68978
72217000,83722000,207.14
72217000,71225000,56.38822
72217000,67902000,101.26864
72217000,86406000,75.69
72217000,60606000,83.24
72217000,63018000,80.5546
72217000,83738000,101.26864
72217000,83740000,74.8007
72217000,72211000,63.2929
72217000,64524000,76.24
72217000,83742000,34.81
72217000,60613000,81.5
72217000,72249000,136.92
72217000,71242000,99.42
72217000,71243000,46.0312
72217000,74601000,25
72217000,72251000,68.73
72217000,71245000,16.03
61914000,60415000,162.14
61914000,83722000,63.42
61914000,71225000,121.98
61914000,71242000,154.12
61914000,71243000,153.06
61914000,71245000,106.43
72223000,71225000,39.12652
74610000,83719000,167.96
74610000,63022000,120.92
74610000,71225000,135.09
74610000,86406000,19.63
74610000,83740000,147.02
74610000,72211000,142
74610000,64524000,90.7
74610000,83742000,81
74610000,72249000,135.85
74610000,71242000,177.52
74610000,71243000,44.61
74610000,72251000,13.82
74610000,71245000,75.64
60415000,83722000,63.5
60415000,71225000,138.2
60415000,71242000,171.04
60415000,71243000,162.97
60415000,71245000,118
83719000,71225000,45.69
83719000,71242000,65.87
83719000,71243000,76.44
83719000,71245000,72.51
63022000,71225000,126.6
63022000,76102000,25
63022000,87808000,25
63022000,83740000,139.71
63022000,72211000,124.98
63022000,64524000,19.59
63022000,83742000,59.64
63022000,60613000,129.64
63022000,72249000,43.14
63022000,71242000,169.65
63022000,71243000,112.77
63022000,72251000,95.78
63022000,71245000,78.55
83722000,60606000,70.33
83722000,63018000,61.08
83722000,83740000,13.71
83722000,72211000,25
83722000,64524000,113.19
83722000,83742000,74.68
83722000,60613000,33.87
83722000,72249000,169.01
83722000,71242000,45.77
83722000,71243000,95.63
83722000,71245000,64.95
76102000,71243000,33.08
76102000,71245000,75.07
86406000,71242000,75.27
86406000,71243000,93.32
86406000,71245000,99.26
60606000,72249000,59.84056
86407000,71242000,74.8
86407000,71243000,74.8
86407000,71245000,80.53
83738000,71242000,32.15
83738000,71243000,106.3
83738000,71245000,78.35
83740000,64522000,26.46794
83740000,71242000,44.76
83740000,71243000,104
83740000,71245000,69.47
64522000,71242000,157.64
64522000,71243000,93.21
64522000,71245000,60.24
64524000,71242000,120.31
64524000,71243000,63.67
64524000,71245000,17.2617
83747000,71243000,135.38
83747000,71245000,110.46
71242000,72251000,38.88
71242000,71245000,48.84
74601000,71245000,62.76
86023000,86005000,10.56
86018000,86003000,16.77
72236000,72223000,41
60605000,60610000,41
86006000,86005000,12.43
72242000,72223000,23
72238000,72223000,24
72238000,72236000,11.8
86003000,86001000,19
87807000,87808000,16.15
86024000,86003000,10
67902000,63022000,2.42
63022000,67901000,2.17
63018000,64501000,17.13
63022000,64501000,27.76
60610000,60605000,28.52
76106000,74610000,14.78
76106000,71242000,41.09
76106000,72217000,80.28
